Major_code,Total,Employed,Employed_full_time_year_round,Unemployed,Median,P25th,P75th
4101,350409,286683,204242,14108,44000,30000,60000.0
2406,358593,262831,220528,14823,78000,55000,105000.0
2901,402038,241585,154167,14273,40500,30000,60000.0
1902,418104,314438,235407,20754,50000,35000,80000.0
5098,427953,308461,238933,14613,56000,38000,85000.0
3700,432806,280902,209838,15701,66000,42000,100000.0
2400,503080,359172,312023,17986,75000,50000,100000.0
6004,504657,379980,266671,30330,46600,32000,70000.0
6000,571961,386961,256747,29912,45000,30000,70000.0
2414,581529,422207,362053,19360,80000,59000,110000.0
3401,601221,404932,296792,29348,50000,33000,75000.0
2408,671647,489965,422317,26064,88000,60000,116000.0
5507,674558,459174,336515,32344,47000,33000,70000.0
6402,712509,478416,354163,33725,50000,35000,80000.0
5506,748956,541630,421761,40376,58000,38000,90000.0
5301,757141,613369,517599,35037,50000,35000,74000.0
5501,757616,535446,430580,34974,69000,42000,110000.0
2102,783292,656372,561052,34196,78000,51000,105000.0
6207,816548,670681,561073,34166,65000,45000,100000.0
3600,839454,583079,422788,36757,51000,35000,80000.0
1901,987676,790696,595739,54390,50000,35000,80000.0
3301,1098647,708882,482229,52248,50000,32900,75000.0
6206,1114624,890125,704912,51839,56000,38500,90000.0
2300,1438867,843693,591863,38742,43000,32000,59000.0
2304,1446701,819393,501786,32685,40000,31000,50000.0
5200,1484075,1055854,736817,79066,45000,31000,68000.0
6107,1769892,1325711,947546,36503,62000,48000,80000.0
6201,1779219,1335825,1095027,75379,65000,42500,100000.0
6200,2148712,1580978,1304646,85626,60000,40000,95000.0
6203,3123510,2354398,1939384,147261,58000,39500,86000.0
